Name,warehouse_id,cost_per_unit,qty_on_hand,category_id
Authentic Tea House Da Hong Pao Oolong Tea  300 ml,4,1.6,111,1
Starbucks Frappuccino Chilled Mocha Drink 281 ml,3,13,134,1
Yit Foh Instant 3 In 1 Premix Milk Tea Teh Tarik (12 Sticks) 40 g,5,13.2,136,1
"Grante 100% Pomegranate, Grape And Apple Juice 250 ml",3,6.6,49,1
Delica 2 In 1 Instant Premix Ipoh White Coffee (15 Packets) 25 g,4,14.15,89,1
Ma Ma Mi Roasted Robusta Ground Coffee 250 g,1,24.6,103,1
Coffee Cherry Roasted Robusta Coffee Beans 250 g,5,24.6,70,1
Nescafé Mild & Smooth Latte Caramel Premix Coffee (20 Sticks) 25 g,5,13.15,110,1
Delica De Mountain Black Coffee Blend (10 Pieces) 10 g,0,12.6,15,1
Nutrigold 3 In 1 Instant Premix Coffee Rich (25 Sticks) 20 x 20,0,11.7,98,1
Nescafé Hazelnut Flavour Latte Premix Coffee (20 Sticks) 24 g,4,13.15,90,1
F&N Seasons Ice Peach Tea Drink 1 L,3,3.95,142,1
Nutrigold 3 In 1 Regulart Instant Premix Coffee (30 Sticks) 20 g,0,11.7,27,1
F&N Seasons Ice Lemon Tea Drink 1 L,1,3.95,67,1
Delica 3 In 1 Less Sugar Premix Ipoh White Coffee (15 Packets) 32 g,3,15.1,43,1
Boncafe 100% Pure Mocca Gourmet Ground Coffee 200 x 21,0,21.4,59,1
Haco Suiss Special Blend Medium Roast Freeze Dried Soluble Coffee 100 x 20,5,38,31,1
Haco Suis Mocha Medium Roast Freeze Dried Soluble Coffee 100 x 20,5,38,119,1
Nutrigold 3 In 1 Instant Premix Coffee Mild (30 Sticks) 20 x 20,4,11.7,64,1
Nutrigold Kopi-O Mixture Without Sugar (20 Sachets) 20,4,8.95,46,1
Nutrigold 3 In 1 Hot Chocolate Drink (15 Sticks) 30 g,2,12.8,29,1
Nutrigold 3 In 1 Milk Chocolate Drink Mix (15 Sticks) 30 g,3,12.8,127,1
F&N Ice Lemon Tea Drink 380 ml,4,2.05,83,1
F&N Seasons Ice Apple Tea Drink 380 ml,3,2.05,46,1
G & G Musang King Durian Coffee 240 g,4,37.69,129,1
G & G Civet Coffee 240 g,2,47.16,97,1
Asia Farm Fruit Punch Juice Cordial 2 L,5,11.72,55,1
Nestum Brown Rice Cereal 27 g,1,12.6,138,1
Dutch Lady Pure Farm Kurma 250 ml,4,7.05,143,1
KincirMas Teas (Ice Lemon Tea) 550 ml,1,3,146,1
Asia Farm Blackcurrant With Fruit Juice 2 L,0,11.72,81,1
Saji Bandung Sweetened Creamer 350 g,1,3.5,20,1
Ahmad Tea London Revitalise Lemon & Ginger Tea (20 Tea Bags) 1 packet,3,11,98,1
Ahmad Tea London Ahmad Tea Fruit & Herb Relaxing Chamomile And Lemongrass Tea 20 x 1.5 g,1,11,64,1
Ahmad Tea London Detox Cleanse Tea 20 x 2 g,1,11,117,1
Marigold 100% Juice Purple Veggie Mixed Fruits Drink 1 L,5,6.65,24,1
Marigold Evaporated Creamer 390ml Twinpack 390 ml,3,5.5,46,1
Asia Farm Mango Juice Cordial 2 L,2,11.72,25,1
F&N 100 Plus Non Carbonated Isotonic Drink 1200 ml,0,6.3,57,1
Sunquick Orange 2 L,4,25.39,37,1
Yeo's Iced Tea Lemon 350 ml,2,1.49,59,1
Oyoshi Green Tea Original 1 L,0,4.15,136,1
WinKidz Blackcurrant Flavoured Fruit Drink 250 ml,3,3.1,113,1
WinKidz Lychee Flavoured Fruit Drink 250 ml,3,3.1,113,1
Pepsi Vanilla Flavored 1.5 L,4,3.95,35,1
Kohilal Chocolate Malt Drink 450 g,3,20.9,72,1
Delica Demountain Blend Coffee 200 g,1,12.6,86,1
Nescafé Classic Dark Roast Instant Coffee 50 g,5,6.2,82,1
Nutrigold Chocolate Malt Drink 2 kg,4,28,142,1
Nescafé Blend & Brew White Coffee Mix 1 packet,1,14.65,95,1
Nescafé Latte Caramel 1 packet,0,4.15,42,1
Nescafé Gold Rich & Smooth Pure Soluble Coffee 40 g,1,10.8,104,1
Nutrigold Chocolate Malt Drink 450 g,1,12.8,51,1
Nutrigold Kopi ) With Sugar 1 packet,0,9.9,126,1
Ovaltine Malt Drink Chocolate Flavour 400 g,0,9.95,19,1
Silver Alam 3-In-1 Coffee (Habbatus Sauda) 300 g,1,14.4,146,1
Boncafe All Day Gourmet Ground Coffee 200 g,2,21.4,50,1
Ah Huat Happy White Coffee 480 g,0,15,22,1
Ah Huat Tea C Blend 480 g,5,16.5,149,1
Ma Ma Mi Matcha Powder 80 g,4,30,9,1
Ikan Brand Instant Rendang Paste (Perencah Rendang Segera) 200 g,0,5.9,39,2
Carnation Sweetened And Condensed Creamer 500 g,5,3.75,21,2
Amazin' Graze Banana Bread Granola 250 g,3,18.8,120,2
Amazin' Graze Salted Gula Melaka Granola 250 g,2,18.8,52,2
Amazin' Graze Blueberry Goji Coconut Granola 250 g,5,18.8,143,2
Amazin' Graze Hazelnut Blackforest Granola 250 g,4,18.8,131,2
Thai Heritage Padthai Paste 125 g,2,5,83,2
Superfish Dried Isi Ikan Talang 120 g,5,8.5,68,2
Superfish Dried Gelama Jeruk 150 g,4,4.2,92,2
Superfish Dried Pari Masin 150 g,5,8.7,114,2
Superfish Dried Tulang Ikan Merah 200 g,3,4.7,84,2
Superfish Dried Tulang Ikan Kurau 200 g,1,5.7,114,2
Superfish Dried Fish Cencaru 150 g,2,3.5,88,2
Superfish Dried Anchovies (Isi Bilis Sedang Tempatan) 120 g,1,11.5,55,2
SIMPLY NATURAL Organic Handmade Pumpkin Pan Mee 200 g,4,8.9,35,2
SIMPLY NATURAL Organic Gluten Free Red Lentil Rigatoni Pasta 250 g,3,13.9,14,2
SIMPLY NATURAL Organic Gluten Free Multigrain Red Macaroni Pasta 250 g,5,13.9,85,2
SIMPLY NATURAL Organic Gluten Free Multigrain Black Fussili Pasta 250 g,0,13.9,36,2
SIMPLY NATURAL Organic Handmade Rainbow Noodle 200 g,2,9.5,104,2
SIMPLY NATURAL Organic Handmade Rainbow Mee Sua 200 g,5,9.5,146,2
Kise Traditional Biscuits (Kacang Gula) 160 g,0,5.1,5,3
Tao Kae Noi Spicy Flavoured Roasted Seaweed (3 Pieces) 36 g,0,4.9,123,3
Kise Kisbit+ Premiere Sweet & Sour Preserved Fruits (Kana Merah) 120 g,1,4,9,3
Kise Kisbit+ Premiere Sweet & Sour Preserved Fruits Red Cherry 120 g,1,4.7,53,3
Tao Kae Noi Spicy Salted Egg Tempura Flavoured Seaweed 45 g,3,7.8,40,3
Amaze Me Tropical Mixed Dried Fruits 1 packet,4,9,75,3
Crocodile Brand Agar Agar Strips 1 packet,5,2.4,56,3
Dalana Sweet Heart Choco Beans 50 g,1,2.2,21,3
Sweetkiss Assorted Milk Chocolate 1 packet,0,17,18,3
Dalana Tiramisu Cheese Almond Chocolate 200 g,4,14.15,135,3
M&M's M&M's Minis In Smooth Milk Chocolate Bar 46 g,1,3.7,116,3
Dalana Tiramisu Green Tea Almond Chocolate 200 g,4,14.15,111,3
Cadbury Black Forest Dairy Milk Chocolate Bar 100 g,3,5.95,28,3
Vico Vico Nuggets 30 g,1,2,146,3
Fishersman's Friend Provide Legendary Extra Strong Cough And Sore Throat Relief. 25 g,0,4.9,21,3
Mamee Sweet Corn Mister Potato Crisps 130 g,0,4.7,81,3
Pocky Family Pack Cookies & Cream 160 g,2,11.95,21,3
